Team number, Team name                                                  , Epa   , Auto EPA, Teleop EPA, Energized, Supercharged, Transition, First Shift, Second Shift, Endgame, Win Rate, Wins, Losses
      10254, Regal Seagulls                                             , 189.31,    30.22,     114.33,    0.5446, 0.2206      , 10.19     ,       48.68,        55.47,   44.54,   0.65  ,   39,     21
       7220, Steel Falcons                                              , 185.9 ,    43.55,     104.55,    0.4104, 0.3064      , 9.88      ,       55.32,        39.34,   37.79,   0.6667,   44,     22
        571, Paragon Robotics                                           , 164.4 ,    28.81,      92.8 ,    0.4209, 0.1415      , 10.78     ,       41.52,        40.5 ,   41.59,   0.7018,   40,     17
       7539, Elev8                                                      , 133.45,    27.16,      70.0 ,    0.4543, -0.1041     , 6.76      ,       36.5 ,        26.73,   35.66,   0.7609,   35,     11
       1073, The Force Team                                             , 139.54,    29.02,      61.75,    0.5357, 0.1514      , 2.12      ,       27.2 ,        32.42,   48.36,   0.5789,   33,     24
       1701, Robocubs                                                   , 185.33,    39.29,     106.65,    0.5797, 0.2548      , 7.01      ,       62.01,        37.63,   39.6 ,   0.7324,   52,     19
        111, WildStang                                                  , 169.77,    27.72,      99.0 ,    0.4022, -0.0291     , 8.71      ,       47.07,        43.22,   42.93,   0.6667,   30,     15
       4020, Cyber Tribe                                                , 171.86,    40.08,      91.89,    0.4502, 0.0039      , 8.21      ,       44.61,        39.06,   39.99,   0.7   ,   28,     12
       1360, Orbit Robotics                                             , 167.08,    25.53,      91.61,    0.5545, 0.1476      , 4.49      ,       44.97,        42.15,   50.51,   0.6275,   32,     19
       2848, Rangers                                                    , 143.36,    20.92,      79.69,    0.3928, 0.0166      , 2.19      ,       38.28,        39.21,   42.85,   0.7538,   49,     16
       9098, FireHawks                                                  , 166.73,    28.08,      93.61,    0.4703, 0.3822      , 7.87      ,       45.93,        39.81,   44.56,   0.6458,   31,     17
       2102, Team Paradox                                               , 140.74,    19.45,      73.15,    0.3424, 0.0803      , 2.33      ,       36.64,        34.18,   48.15,   0.6379,   37,     21
        484, Roboforce                                                  , 190.03,    38.27,     103.19,    0.7046, 0.3305      , 15.31     ,       42.15,        45.73,   49.07,   0.7097,   44,     18
       4646, Wildcard Robotics                                          , 196.88,    38.76,     102.16,    0.5971, -0.0483     , 9.65      ,       42.88,        49.63,   55.44,   0.7143,   30,     12
       9408, Warren Warbots                                             , 185.02,    42.01,      97.41,    0.6056, 0.2317      , 13.4      ,       46.79,        37.22,   45.25,   0.8333,   50,     10
        294, Beach Cities Robotics                                      , 156.15,    31.05,      88.92,    0.3223, 0.245       , 11.22     ,       42.03,        35.67,   35.24,   0.7288,   43,     16
       1699, Robocats                                                   , 165.04,    22.59,     100.77,    0.5962, 0.1936      , 12.15     ,       47.73,        40.89,   41.76,   0.62  ,   31,     19
       2337, EngiNERDs                                                  , 169.56,    35.88,      91.87,    0.5543, 0.3126      , 1.8       ,       48.47,        41.6 ,   42.39,   0.8378,   62,     12
      11415, Storm Surge                                                , 164.06,    21.35,      93.85,    0.5655, 0.2405      , 8.89      ,       44.27,        40.69,   48.87,   0.5778,   26,     19
